job_id,job_title,job_url,job_company,job_location,job_salary,job_description,job_skills
219,"Monitoring Agent "" Soc""",https://wuzzuf.net/jobs/p/hzkv0olxnVEb-Monitoring-Agent-Soc-e-finance-Giza-Egypt?o=259&l=sp&t=sj&a=search-v3,e-finance,"e-finance - 6th of October, Giza",1 to 2 years,"Job-specific responsibilities:Monitor the security alerts queue through SIEM solution and EDR.Monitor the health of Organization’s security sensors and SIEM infrastructure.Collect data and context necessary to initiate Level 2 escalation.Deliver scheduled and ad-hoc reports.Work closely with the Level 2 & Level 3 team towards the continuous improvement of the service.Create Logs, and close Tickets and Incidents.",monitoring*security*engineering*computer science*information technology (it)*
220,Application Support Specialist,https://wuzzuf.net/jobs/p/pXK2MN3nEJTF-Application-Support-Specialist-Al-Ahly-Medical-Company-Giza-Egypt?o=265&l=sp&t=sj&a=search-v3,Al Ahly Medical Company,"Al Ahly Medical Company - Giza, Giza",1 to 2 years,"Provide first level support for production issues across multiple applications, including problemidentification, definition and implementation of short-term work around and coordination of longterm software solution IT team and software Vendor.Ensure that the business application systems supported by the software Vendor are maintained tothe highest possible standard with maximum levels of attainable productivity and efficiency.Working continuously on a task until completion (or referral to third parties, if appropriate). System configuration, scripting and new user administration as required Business Supportprovide user training and training materials and arrange third party training.Diagnose and resolve day-to-day live system issues in timely manner based on their severity.Maintain ongoing communication with end-users, Business Analyst Team Leader, QA team, anddevelopment team (software Vendor) on reported issues.Data migration and testing.Test configuration changes in a test environment prior to pushing into production",computer*customer service*customer support*customer care*business*information technology (it)*itil*erp*medical*software development*troubleshooting*software*
221,Senior Software Developer.NET,https://wuzzuf.net/jobs/p/BuFQTd8HswSL-Senior-Software-DeveloperNET-Cairo-Egypt?o=258&l=sp&t=sj&a=search-v3,Not Specified,"Confidential Company - New Cairo, Cairo",More than 5 years,"Responsible for the development lifecycle of .Net applications : creation, maintenance and support Work with agile mindset designs modular applications for cloud environment Deploys applications in a release on demand process and releases Discuss with the customer at daily performance",agile*angular*frontend*software engineering*design*english*information technology (it)*computer science*software development*
222,Business Analyst,https://wuzzuf.net/jobs/p/Kufu5TdAxfvp-Business-Analyst-Tagit-Company-Cairo-Egypt?o=257&l=sp&t=sj&a=search-v3,Tagit Company,"Tagit Company - Cairo, Egypt",2 to 3 years,"Software analysis and design “wireframes, prototypes, UML Diagrams and modeling” SDLC concepts.Software documentation- SRS, BRD- requirements gathering and project managementtools and concepts.Basic testing and bug writing report “quality assurance”.Basic automation testing using selenium.Design patterns concepts and agile methodology.Gather, analyze and document business requirements.Creating and defining business processes using (Flow charts, Mind maps).Define User Stories and acceptance criteria.Manage and monitor project progress and ensure the project objectives are met.Ensuring that the product backlog is visible, prioritizedConduct client meetings.Work closely and support the project technical team.Participate in user acceptance testing.Manage information technology and computer systems.",business analysis*computer science*information technology (it)*science*it*analysis*project management*
223,Senior Full Stack Developer,https://wuzzuf.net/jobs/p/T3QDk8y9iEpq-Senior-Full-Stack-Developer-Eg-Insurtech-Cairo-Egypt?o=266&l=sp&t=sj&a=search-v3,Eg Insurtech,"Eg Insurtech - Maadi, Cairo",4 to 6 years,"Job PurposeDevelop and build high-quality, innovative and fully performing software in compliance with coding standards and technical design.Duties And ResponsibilitiesPerform advanced programming tasks according to the project planImplement tasks following functional specificationsWrite well designed, testable, and efficient codeGood Technical Research SkillsParticipate in the estimation of new features and componentsOn-time delivery of assigned tasksPerform unit testing for submitted tasksServe as a mentor to less experienced software engineersParticipate in the analysis & design of new functional requirementsImplement complex and risky tasks development tasksConduct prototyping and POCs for new technologiesConduct code review and code refactoring tasks",.net*computer science*software engineering*software development*sql*information technology (it)*html*javascript*programming*web development*xml*apis*
224,Senior iOS Developer,https://wuzzuf.net/jobs/p/ms2eofo1WwGM-Senior-iOS-Developer-LINK-Development-Cairo-Egypt?o=267&l=sp&t=sj&a=search-v3,LINK Development,"LINK Development - Maadi, Cairo",2 to 4 years,"
Develop native iOS modules for mobile platforms
Provide estimates to the team with respect to development timelines.
Provide updates of mobile development with respect to timelines and tasks.
Work closely with project team to determine application requirements.
",objective-c*ios*software development*engineering*information technology (it)*mobile platforms*ios development*mobile development*swift*html*javascript*computer science*software engineering*english*computer engineering*html5*
225,Senior Full Stack Developer,https://wuzzuf.net/jobs/p/fXMGYQTLJ9Yr-Senior-Full-Stack-Developer-e-Aswaaq-Misr-Giza-Egypt?o=264&l=sp&t=sj&a=search-v3,e Aswaaq Misr,"e Aswaaq Misr - Smart Village, Giza",More than 5 years,Maintaining and developing digital products. Optimizing applications for optimum speed and effectiveness.ResponsibilitiesDeveloping front end layers for assigned applications.Help in providing high user interactions through applications.Ensuring cross-platform optimization for mobile phones.Ensuring responsiveness of applications.Optimize applications for maximum speed and operational effectiveness.Designing and developing APIs.Meeting both technical and consumer needs.Create quality mockups and prototypes as needed.Ensure high quality graphic standards and brand consistency.Staying abreast of developments in web applications and programming languages.,angular*php*node.js*react*development*computer science*javascript*software development*information technology (it)*apis*css*jquery*telecom engineering*
226,Senior .NET Developer,https://wuzzuf.net/jobs/p/NM9A2Nn9FokR-Senior-NET-Developer-GlobeMed-Egypt-Cairo-Egypt?o=270&l=sp&t=sj&a=search-v3,GlobeMed Egypt,"GlobeMed Egypt - Maadi, Cairo",3 to 5 years,"Duties & Responsibilities:Develop high-quality software design and architectureProduce clean, efficient code based on technical specifications and development standardsTroubleshoot, debug and upgrade existing softwareParticipate in testing process by conducting different types of testingRecommend improvementsCoordinate with other ICT teams (Business analyst, Quality assurance and PMO)Document development phases",c#*html5*css3*javascript*jquery*entity framework*linq*asp.net*mvc*.net*software engineering*angular*software development*information technology (it)*computer science*
227,Android Mobile Developer,https://wuzzuf.net/jobs/p/mIKGKhfICT4y-Android-Mobile-Developer-Itechs-Cairo-Egypt?o=282&l=sp&t=sj&a=search-v3,Itechs,"Itechs - Heliopolis, Cairo",3 to 5 years,Build and deploy high-quality Android applications using Android StudioModifying and maintaining our existing apps both from development and deployment perspectives.All this should happen while collaborating with cross-functionality teams in an agile environment to deliver the work according to the set plans,android*information technology (it)*mvc*
228,Implementation Consultant,https://wuzzuf.net/jobs/p/RzE132fZZAPr-Implementation-Consultant-AGG-Information-Technology-Cairo-Egypt?o=285&l=sp&t=sj&a=search-v3,AGG Information Technology ,"AGG Information Technology  - Nasr City, Cairo",1 to 4 years,"Retail Tech is a Saudi Arabian Company based in KSA and it's back office in Egypt at Nasr city.Retail Tech is Hiring Implementation Consultants, Support Engineers, and Technical Consultant working with Power BI and Crystal ReportsWorking with multiple clients and software'sSuch as SAP, Oracle Databases, Retail Pro software, and Business intelligence software'sGraduated from all Fields are welcome to apply",implementation*erp*english*information technology (it)*customer service*communication*ms office*
229,Senior Software Quality Assurance Specialist,https://wuzzuf.net/jobs/p/IzbAklQD0epw-Senior-Software-Quality-Assurance-Specialist-Smart-IT-Cairo-Egypt?o=271&l=sp&t=sj&a=search-v3,Smart IT,"Smart IT - Nasr City, Cairo",More than 5 years,"Quality Assurance

Develops automated testing systems using commercial tools, scripts and data set. · Ensures that all items follow the change management process and are entered and tracked through the change management software
Works directly with the appropriate team to understand project concept, objectives, and approach of software development projects.

Testing

Defines scope and objectives of all levels of QA testing.
Participate in all aspects of testing, including functional, regression, load and system testing.
Responsible for the overall success of testing. Manages assigned projects from Software Quality Testing through final User Acceptance Testing.
Establishes the purpose and deliverables of the test effort.
Provides resource planning, management and resolution of issues that impede the test effort.
Assures the appropriate level of quality by the resolution of important defects by working with developers to ensure the software development process has an appropriate level of testing.
Creates effective manual and automated test plans, using a variety of toolsets, including Rational Test Manager. Rational Robot, and other automated tools.
Performs black box testing as required.
Works collaboratively with development during all stages of projects to provide in process testing results.
Coordinates groups of business personnel who test, evaluate and validate new functions and applications, and identify issues in software or services.
Records and reports on testing metrics.
Obtains final sign off for code releases to production from the appropriate Project Manager.
Track and report defects using appropriate tools
",quality control*software testing*quality assurance*software development*qc*qa*quality*testing*science*computer science*automation*communication*analysis*business*quality improvement*engineering*information technology (it)*programming*certified software tester (cste)*certified software tester*quality engineer*six sigma*automation testing*analytical skills*qa testing*unit testing*user testing*usability testing*mobile testing*mobile application testing*user acceptance testing*test cases*qa automation*quality auditor*international software testing qualifications board*istqb*software testing life cycle*manual testing*performance testing*api testing*functional testing*tester*
230,Unified Communications Specialist (Microsoft Teams/Skype),https://wuzzuf.net/jobs/p/JRlC32ktnvy0-Unified-Communications-Specialist-Microsoft-TeamsSkype-Global-Brands-Cairo-Egypt?o=277&l=sp&t=sj&a=search-v3,Global Brands,"Global Brands - New Cairo, Cairo",More than 1 year,"• Will be responsible for implementing and delivering MS UC Solutions to customers• Create/update the documentation about the implementation and configuration• Build configurations as per design, recommendations for MS Teams Direct Routing, MS Teams, MS Skype for Business, MS Office 365, AD, …etc.• Configure MS Teams direct routing using voice gateways such as Ribbon SBC.• Troubleshoot and fix issues for Skype for Business and MS Teams• Act as a technical focal point in relationships with customers and other partners• Present UC solutions for GBG Customers",business*communication*communication engineering*ms*computer engineering*
231,Senior Front End Developer (Remotely),https://wuzzuf.net/jobs/p/A2Kee66lWM7i-Senior-Front-End-Developer-Remotely-SURE-International-Technology-Cairo-Egypt?o=283&l=sp&t=sj&a=search-v3,SURE International Technology,"SURE International Technology - Cairo, Egypt",More than 3 years,Develop straight forward & medium code that assigned to him from SD & TL.Fixing bugs (with Senior or TL supervision )Develop & run basic test cases and basic integration test to become familiar with the project scope.Self-Study & attend planned trainingLearn codebase and understand the project structureAttend any business and design meeting to have overview about systemCommit on the planned effort/Date of the task as possiblePerform any other related jobs duties as requested by his supervisorsGuide for JD.Perform Integration test on medium scope,angular*software development*computer science*frontend*front end*apis*css*git*information technology (it)*javascript*restful*restful apis*source control*typescript*
232,Java Tech Lead,https://wuzzuf.net/jobs/p/hEGwlh3R1X0j-Java-Tech-Lead-FlairsTech-Cairo-Egypt?o=275&l=sp&t=sj&a=search-v3,FlairsTech,"FlairsTech - Maadi, Cairo",More than 6 years,"We are an international IT and Software Services company that provides exceptional experiences to customers around the world from our five offices in Egypt, Canada, and Poland. Over 70 global partners rely daily on our 900+ employees for superior Software Development and BPO/ Customer Operations services, Customer Experience, Customer Success Management, and innovative Business Solutions.   We are growing – and fast. Join us, and let's grow together! Apply now.   Job Description:  Provide technical leadership to teammates through coaching and mentorshipMaintain high standards of software qualityCollaborate with other software developers, business analysts and software architects to plan, design, develop, test, and maintain web- and desktop-based business applicationsPrepare reports, manuals and other documentation on the status, operation, and maintenance of softwareDesign, develop, and unit test applications in accordance with established standardsAssess opportunities for application and process improvement and prepare documentation of rationale to share with team members and other affected partiesResearch and evaluate a variety of software productsUse creative problem solving to find solutions to development challengesProcess oriented approach to team leadership",information technology (it)*computer science*java*javascript*mongo*software development*software engineering*spring*spring boot*lead java developer*lead java*
233,Software Development Team Leader,https://wuzzuf.net/jobs/p/TRmBfOmyCNcN-Software-Development-Team-Leader-Itechs-Cairo-Egypt?o=281&l=sp&t=sj&a=search-v3,Itechs,"Itechs - Heliopolis, Cairo",6 to 10 years,"Supervision and Coordination of Development Resources.Review requirements and provide feedback.Provide code reviews to contribute to continuous improvement.Escalate time, cost, or quality implications to the development manager.Lead technical knowledge transfer where necessary.Analyze existing solutions to provide recommendations on improvements.Collaborate with team members to develop and maintain suitable coding standards.Assist in deployment and DevOps platforms.Attend personal training for at least one week per half year to improve skills.Contribute to project effort estimations.",computer engineering*computer science*software development*software*information technology (it)*.net*mvc*mysql*
234,Audio Visual Pre Sales Engineer,https://wuzzuf.net/jobs/p/bBhY9dG7cUAs-Audio-Visual-Pre-Sales-Engineer-Itechs-Cairo-Egypt?o=279&l=sp&t=sj&a=search-v3,Itechs,"Itechs - Heliopolis, Cairo",5 to 7 years,"Research, design, and engineering from simple to complex AV systems.Software sales of related UC collaboration tools.Generate functional line drawing for audio, video, control, and communication systemsExtensive knowledge of signal flow for audio, video, control, and networkingAssist the sales team in developing proposals and estimatesProactively manage change orders and processingEffectively coordinate with project managers on project detailsContinuous education on design practices and new product knowledgeAttend sales meetings and job walksPossess strong communication skills and the ability to learn new technologies quickly.Be successful in building relationships with clients and possess a strong customer service attitude. Feel interested, confidence, and creditability in the solutions being presented.Lead and assist the sales and project team with the design and development of high-end audio-visual collaboration solutions unitizing the latest control system, video conferencing, unified communications, and video streaming solutions.Respond to RFPs and develop written quotations, system designs, and schematics.Working knowledge and design experience with Unified Communications systems as well as video streaming and video conferencing solutions are required.",audiovisual*information technology (it)*audio*visual*sales skills*technical*engineering*
235,Full Stack Developer,https://wuzzuf.net/jobs/p/oUZD0gMxHzhN-Full-Stack-Developer-Host-Sailor-Ras-al-Khaimah-United-Arab-Emirates?o=274&l=sp&t=sj&a=search-v3,Host Sailor,"Host Sailor - Ras al-Khaimah, United Arab Emirates",3 to 5 years,"We are looking for a highly skilled computer programmer who is comfortable with both front and back-end programming. Full stack developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.As a full-stack developer, you will work as part of a team to implement new features, as well as make modifications and fix bugs in existing code. Your duties will include designing and developing layouts, writing code to power the underlying functionality of the website, and developing tests for the code you write, requiring good organizational skills and attention to detail.Developing front end website architecture.Designing user interactions on web pages.Developing back-end website applications.Creating servers and databases for functionality.Ensuring cross-platform optimization for mobile phones.Ensuring responsiveness of applications.Working alongside graphic designers for web design features.Seeing through a project from conception to finished product.Designing and developing APIs.Meeting both technical and consumer needs.Staying abreast of developments in web applications and programming languages.",whmcs*wordpress*jquery*javascript*xml*information technology (it)*html*software development*web development*computer science*css*engineering*mysql*angular*react*
236,English/ French -Technical Support Specialist,https://wuzzuf.net/jobs/p/bDlrxmSn6lwi-English-French--Technical-Support-Specialist-Concentrix-Giza-Egypt?o=273&l=sp&t=sj&a=search-v3,Concentrix,"Concentrix - 6th of October, Giza",More than 1 year,"Earn up to 13,000 Gross  The Advisor I, Technical Support responds to basic and routine inquiries of a technical nature including hardware/software, or other designated client products. This position assists external users of the client's technical products or services by answering questions and solving problems involved in their use.Assist external users of the client's technical products or services; identify, investigate, research, and provide solutions to user questions and problemsTroubleshoot basic and routine customer issues that are technical in nature; including hardware, software, networking, or other designated client productsFollow appropriate escalation path to resolve technical issues; including making follow-up outbound calls to customers or other parties as neededSolve problems that are generally unstructured and require extensive use of conceptual thinking skillsEnsure service delivered to our customers meets contractual Key Performance Indicators (‘KPIs’)Greet customers in a courteous, friendly, and professional manner using agreed-upon proceduresListen attentively to customer needs and concerns; demonstrate empathy while maximizing the opportunity to build rapport with the customerClarify customer requirements; probe for understandingPrepare complete and accurate work including appropriately notating accounts as requiredParticipate in activities designed to improve customer satisfaction and business performance",customer care*customer service*customer support*technical support*english*it*microsoft products*troubleshooting*office 365 cloud*microsoft*information technology (it)*engineering*computer science*technical*support*ccna*ccnp*dhcp*dns*lan*sql*wan*
237,Database Administrator,https://wuzzuf.net/jobs/p/cz9jWvAx4SZf-Database-Administrator-CYSHIELD-Cairo-Egypt?o=280&l=sp&t=sj&a=search-v3,CYSHIELD,"CYSHIELD - Sheraton, Cairo",3 to 5 years,"Job Purpose:We are looking for DBA’s that will be able to provide physical database support for Open Source databases (Relational / Non-Relational), ensuring the integrity and availability of the database, monitoring, analysis, and performance tuning at both the Operating System and Database level and you will Work closely with our software engineers to provide them with the best infrastructure possible. And you will be involved in everything related to relational and (NoSQL) databases: design, architecture, maintenance, migrations, administration, configuration, etc.Job Description:Responsible for implementation, configuration, maintenance of system health for high-concurrency databases.Troubleshoot Relational / Non-Relational database performance and scalability issues and implement performance tuning and optimization.Build high-scale data pipelines and data infrastructure for migrating SQLServer and Oracle DB to PostgreSQL / MongoDB.Configuring and managing replication databases.Performing Database backup, restore, and recovery models.Implement High Availability and Disaster Recovery options for PostgreSQL and MongoDB.Independently analyzes, solves, and corrects issues in real-time, providing problem resolution end-to-end.Implementing database monitoring & automation concepts to track the issues.Manage, monitor, and tune PostgreSQL and MongoDB.Assists developers with database best practices and tuning the complex query.Manages the creation and modification of database objects to ensure any changes have been reviewed and approved before installing in production environment.Ensure 3rd line and Vendor involvement in operation level Issues.To maintain an online backup and recovery function that supports the best data recovery time.",backup*computer science*database*configuration*engineering*information technology (it)*mongodb*recovery*sql*postgresql*oracle*it*database sql server*database systems*oracle dba*oracle db*
238,Senior Cloud Engineer,https://wuzzuf.net/jobs/p/uVtrrr3AWj8q-Senior-Cloud-Engineer-Global-Brands-Cairo-Egypt?o=278&l=sp&t=sj&a=search-v3,Global Brands,"Global Brands - New Cairo, Cairo",More than 3 years,"Providing clients while understanding the unique requirements of customers and providing appropriate technical cloud solutions and architecture designs.Reviewing and recommending technologies to improve the delivery of Microsoft and Non-Microsoft solutions.Be a technological cloud advocate to a wider audience inside and outside of the business.Be part of internal innovation hubs and collaborate across the entire firm. Drive innovation by developing a code base and automated deployments.Ability to build solid relationships and show technical expertise to deliver quality, client-centric solutions using Microsoft and Non-Microsoft technologies.Advocate innovation within the firm and with clients and promote team collaboration. ",automation*azure*cloud*aws*security*sql*computer science*
239,Front End Developer,https://wuzzuf.net/jobs/p/hbnktJnZ9CnV-Front-End-Developer-Perfect-Presentation-Giza-Egypt?o=276&l=sp&t=sj&a=search-v3,Perfect Presentation,"Perfect Presentation - 6th of October, Giza",More than 6 years,"Roles and Responsibilities:Develop, Optimizing and Maintaining User interfaces for Modern Rich Internet Applications with the latest Front-End Technologies (Angular 8+).Maintaining high performance and compatibility across platforms and devices.Working with tools such as, Adobe XD .Familiarity with Human-Computer Interaction, Design systems, materials design.Use responsive web design to create applications that automatically conform to multiple screen sizes/devices.Translate any given user-Interface designs into a web applications .Wield their knowledge of Search Engine Optimization (SEO) to develop search-friendly websites and interfaces .Familiarity with building portals by understanding the Business requirements documents.Familiarity with browser testing and debugging.Perform product analysis and development tasks of an increasingly complex nature which may require extensive research and analysis.Writing tested and documented JavaScript, HTML5, and CSSMake design and technical decisions for Angular projects with all the standards and best practices.Ensuring high performance and best user experience.Working with UI and UX teams to build best applications.Understanding what is needed for a smooth workflow between yourself, and designers.Communicate thoroughly with the back-end department.",agile*angular*front end*front-end*html5*css*javascript*software development*computer engineering*information technology (it)*computer science*
240,Dynamics CRM 365 Developer,https://wuzzuf.net/jobs/p/JT9h2w99WAY4-Dynamics-CRM-365-Developer-Rawaj-HCM-Cairo-Egypt?o=272&l=sp&t=sj&a=search-v3,Rawaj-HCM,"Rawaj-HCM - Maadi, Cairo",3 to 7 years,"CRM Developer Configuring, developing, and supporting Dynamics 365 CRM in line with best practices.Developing customized solutions within the Salesforce platformCreating, modifying, and troubleshooting existing applicationsTesting solutionsMicrosoft certified in Dynamics 365 - EssentialEnterprise integration expert - EssentialProficient in related technologies such as Microsoft Stack, Office 365, SSRS, SSIS, SharePoint, Microsoft Azure and Power BI - EssentialA Bachelor’s Degree in Computer Science would be advantageous..Net Background is advantage  ",information technology (it)*dynamics crm*crm*dynamics*software development*computer science*ax*d365*development*microsoft dynamics*sql*sql server*ssrs*
241,IT Sales Account Manager,https://wuzzuf.net/jobs/p/XsMP4fgJSCoY-IT-Sales-Account-Manager-Misr-International-Systems-Giza-Egypt?o=284&l=sp&t=sj&a=search-v3,Misr International Systems,"Misr International Systems - Smart Village, Giza",2 to 3 years,"The candidate is expected to perform the following tasks:To acquire new accounts and service existing accounts to be able to offer them new products/solutionsKey Responsibilities include:Client management.Manage and handle current accounts.Sell new solutions by understanding client needs and presenting appropriate integrated solutions. - Build market for CISCO,THALES, MATICA, DELL EMC, Fortigate and other company partners.Assist the Pre-sales/Technical team in preparing Technical specifications and RFP’s for clients duly attending and documenting technical sessions.Negotiate tender and contract terms and conditions to meet both client and company needs;Meet regular sales targets and coordinating sales projects.Assist in preparing an appropriate solution covering design for the company's products.Work with sales coordinator for completing all internal tasks related to sales.presenting and demonstrating how a product meets client needs.Prepare and negotiate financial offers.Follow-up with the client till the closure of the sales cycle.Assist in exploring new channels for driving sales activities e.g. partner events, conferences etc.",mba*sales*marketing*sales skills*sales target*computer science*electronics*engineering*computer engineering*information technology (it)*mitel*cisco*hp*verisoft*thales*matica*dell*spectronic*account management*dell emc*emc*english*
242,Media Buyer,https://wuzzuf.net/jobs/p/R4BSQ8WzqYxB-Media-Buyer-ServerHub-Cairo-Egypt?o=289&l=sp&t=sj&a=search-v3,ServerHub,"ServerHub - Cairo, Egypt",More than 2 years,"ABOUT OUR COMPANYWe are a Global Hosting Service Provider based in the United States with over a decade of hosting experience and 11 data centers across the United States, Germany, and other locations. We offer dedicated servers, and VPS hosting for Small to Large Businesses.As a company, and as individuals, we value honesty, openness, and personal excellence. We are committed to each and every customer we provide our services to. Large or Small. We hold ourselves accountable to our customers, partners, employees, and shareholders by honoringour commitments, providing results, and striving to be the best service provider in the industry. It is our mission to provide our customers with the best possible experience when utilizing our network to further their business activities, day by day it is our intention to continue to be a leader and an online provider that our customers can depend upon and trust.ABOUT THE JOBThe Social Media Marketing Specialist is responsible for creating, managing, and delivering all the different social media campaigns.JOB DUTIESManage and create media buying campaigns across social media and digital channels.Work with designers, content creators, and website product owner specialists on assets used for paid media campaigns.Build strategies for account expansion on spending and performance.Optimizing campaigns towards lower cost per KPIs and achieving what is promised in media plans is a must.Launch email and SMS marketing campaigns.Support the team with weekly updates on the latest trends in the digital marketing field.Submit weekly reports for campaign performance and KPIs achieved vs promisedWork with the website product owner on website improvement and optimization for best performance.Research competitors' digital strategies and media sponsors used to improve client performance.Create media buying sheets and related plans.",google ads*google analytics*google web toolkit*google keyword planner*google adsense*google doubleclick*search engine optimization*media buying*digital marketing*advertising campaigns*web marketing*online campaigns*marketing campaigns*
243,Senior iOS Developer,https://wuzzuf.net/jobs/p/UezKwbLOB99N-Senior-iOS-Developer-DBS-Cairo-Egypt?o=286&l=sp&t=sj&a=search-v3,DBS,"DBS - New Cairo, Cairo",More than 3 years,"Design and build advanced applications for the iOS platform.Collaborate with cross-functional teams to define and design new features.Unit-test code for robustness, including edge cases, usability, and general reliability.Work on bug fixing and improving application performance.Continuously discover, evaluate, and implement new technologies to maximize development efficiency.",ios*computer science*engineering*information technology (it)*development*software engineering*software development*restful*apis*
244,Senior Full Stack Developer,https://wuzzuf.net/jobs/p/78M6eJQm8v9z-Senior-Full-Stack-Developer-Dynamicslink-Cairo-Egypt?o=293&l=sp&t=sj&a=search-v3,Dynamicslink,"Dynamicslink - Nasr City, Cairo",More than 10 years,"Participating in the entire software development life cycle, debugging applications, and configuring existing systems.Analyze system requirements and prioritize tasks.Writing clean, testable code using .NET programming languages (C#, .NET Core, JS).Test and debug various .NET applications.Review and refactor code.Document development and operational procedures.",asp.net*.net*css*html*javascript*jquery*sql*information technology (it)*programming*software development*computer science*web development*telecom engineering*
245,Senior Embedded Systems Engineer - Robotics,https://wuzzuf.net/jobs/p/sRf0vJ9zy5Yc-Senior-Embedded-Systems-Engineer---Robotics-Atomica-Cairo-Egypt?o=294&l=sp&t=sj&a=search-v3,Atomica,"Atomica - Cairo, Egypt",More than 3 years,"Atomica is seeking a senior embedded systems engineer to join its development team. The selected candidate will work in collaboration with a team on developing image-guided surgical robotic systems.ResponsibilitiesDeveloping embedded software architecture for the robotic systemsImplementing real-time control system for the robotic systemsSelecting and implementing communication protocols between different system componentsWork closely with other team members (mechanical/electrical/control engineers) towards developing the productAttend regular meetings to report progress and agree on the next steps.Document the work where requiredWhat do we offer you?Utilize your technical skills to contribute to creative and exciting projects to improve patients’ livesSee your work integrated into actual medical products used during surgeriesBe part of a young, dynamic, and highly skilled team where you can both have an impact and continue to learnBenefit from flexible working hoursEarn a competitive salary based on your experienceBenefits:Paid time off.Medical insurance.Team building activities.Annual trip.",c*c++*git*networking*c/c++*rtos*can*mechatronics*information technology (it)*communication*software engineering*computer engineering*computer science*electrical*engineering*
246,Mobile Application Developer,https://wuzzuf.net/internship/UkRtv0WTDlNj-Mobile-Application-Developer-Z-Home-Cairo-Egypt?o=298&l=sp&t=sj&a=search-v3,Z Home,"Z Home - Cairo, Egypt",0 to 1 year," ZHOME is the expert for all connected home products. We are the first consulting platform and total solution provider for products that make the home smarter and life more connected. A growing startup that focuses on all wireless, affordable, high-quality products and is easy to use for all customers with dedicated expert support service.We are building the future of smart homes and looking for a motivated and innovative app developer to help us achieve our vision.We are in search of a skilled mobile app developer who can build efficient and highly scalable mobile applications. They will have to design low-latency and high-volume applications for Android and iOS systems. The candidate needs to compile documentation and requires excellent written communication skills.Design and develop mobile applicationsMonitor the entire application development lifecycle (design, test, support, and release)Add and optimize features as per specificationsMake and prepare releases of dynamic application componentsCreate cross-platform applications for Android, iOS, Windows, etc.Work on software analysis, troubleshooting, and debuggingBuild interfaces to improve UX",engineering*computer science*information technology (it)*apis*software development*programming*java*oop*git*design*software engineering*android*
247,Senior .Net Software Engineer,https://wuzzuf.net/jobs/p/7WTEeRUWcvF5-Senior-Net-Software-Engineer-DBS-Cairo-Egypt?o=287&l=sp&t=sj&a=search-v3,DBS,"DBS - New Cairo, Cairo",More than 4 years,"Participate in requirements analysis.Write a clean, scalable code using .NET programming languages.Test and deploy applications and systems.Revise, update, refactor and debug code.Develop documentation throughout the software development life cycle (SDLC).Serve as an expert on applications and provide technical support.",computer science*.net*information technology (it)*software development*software engineering*engineering*asp.net*apis*agile*rest*sql*
248,IoT & Smart Home Engineer,https://wuzzuf.net/internship/mvSIMVUKNh7T-IoT-Smart-Home-Engineer-Z-Home-Cairo-Egypt?o=299&l=sp&t=sj&a=search-v3,Z Home,"Z Home - Cairo, Egypt",0 to 1 year,"ZHOME is the expert for all connected home products. We are the first consulting platform and total solution provider for products that make the home smarter and life more connected. A growing startup that focuses on all wireless, affordable, high-quality products and is easy to use for all customers with dedicated expert support service.Until now, there has been no trusted platform to help people navigate the jungle of thousands of smart products and applications. With ZHOME, we have created a platform to do exactly this.With us you will:Test and evaluate all Smart products we offer and write the test reportsTechnical support for Smart Home products installation and configurationDevelop web applications as neededBe the expert for our customers smart home products installation and onsite problem solvingResearch exciting topics and trends of Smart Home, Connected Home, and Internet of Things, as well as write articles, news, blog posts, etc.Be part of a young, open-minded, and innovative start-up culture that is constantly evolving",smart home*iot*software testing*modern technology*technical support*information technology (it)*telecommunication*engineering*customer service*computer science*english*smart homes*home automation*telecom*
249,Senior Flutter & Firebase Developer,https://wuzzuf.net/jobs/p/fNFCPh4rLZBP-Senior-Flutter-Firebase-Developer-Aphrie-Cairo-Egypt?o=295&l=sp&t=sj&a=search-v3,Aphrie,"Aphrie - Maadi, Cairo",More than 5 years,Design and Build  highly scalable apps using Flutter.Translate and Build the designs and Wireframes into high-quality responsive UI code.Explore feasible architectures for implementing new features.Resolve any problems existing in the system and suggest and add new features to the complete system.Follow the best practices while developing the app and also keeping everything structured and well documented.Document the project and code efficiently.Manage the code and project on Git in order to keep in sync with other team members and managers.Ensure security guidelines are always followed while developing the app.Consulting with our customer-facing representatives about software system design and maintenance.Perform time profiling and memory leaks assessment.,firebase*git*information technology (it)*cloud functions*computer science*rest*software development*telecom engineering*
250,PHP Lead,https://wuzzuf.net/jobs/p/ZUjygkHetlFH-PHP-Lead-LINK-Development-Cairo-Egypt?o=297&l=sp&t=sj&a=search-v3,LINK Development,"LINK Development - Maadi, Cairo",5 to 15 years,"Communicate, track and monitor development activities to make sure that the project is delivered on time with high quality.Conduct Requirements review, code review for developers and create high & low-level design for the application architecture.Fully resolve technical issues including performance and functionality issues. And resolve production problems and software release issuesReport issues and project status of modules to Project ManagerDeploy the application on the customer side, and conduct training on the application to the customer, and prepare recorded or documented tutorials for it.Ensure alignment with the organization's vision and values (DM Summit, Regional Meeting, Management Meetings, and Training).",php*computer science*information technology (it)*software development*engineering*laravel*drupal*computer engineering*python*react*angular*agile*javascript*php development*
